B,T,d_model,d_ff,vocab,fwd_baseline_s,fwd_fused_s,fwdback_baseline_s,fwdback_fused_s
32,6,128,512,100,0.00029075000202283263,0.0002075500087812543,0.00135194999165833,0.0008465999271720648
32,6,128,512,1000,0.0003294000052846968,0.00019869999960064888,0.001442150038201362,0.0008558999979868531
32,20,128,512,1000,0.0003219500067643821,0.00022975000320002437,0.001489599992055446,0.0008764499798417091
64,20,256,1024,5000,0.0010815999703481793,0.0007232999196276069,0.002823700022418052,0.0016247500316239893
